그로브 직무 데이터셋,,,
,,,
,,,
,,,
job_id,job_name,category,job_description
Dev01,프론트엔드 개발자,Developer,웹사이트나 웹 애플리케이션에서 사용자에게 보여지는 부분을 개발합니다.
Dev02,백엔드 개발자,Developer,"사용자와 직접적으로 상호작용하지 않는 서버, 데이터베이스, 애플리케이션 등을 관리하고 개발합니다."
Dev03,풀스택 개발자,Developer,프론트엔드와 백엔드를 모두 다룰 수 있는 개발자입니다.
Dev04,iOS 개발자,Developer,애플의 iOS 운영체제에서 작동하는 모바일 앱을 개발합니다.
Dev05,안드로이드 개발자,Developer,구글의 안드로이드 운영체제에서 작동하는 모바일 앱을 개발합니다.
Dev06,크로스플랫폼 앱 개발자,Developer,iOS와 안드로이드 모두에서 작동하는 앱을 개발합니다.
Dev07,데이터베이스 관리자,Developer,데이터베이스를 효율적으로 운영하고 관리하는 역할을 합니다.
Dev08,데이터 엔지니어,Developer,대규모 데이터를 처리하고 분석할 수 있는 시스템을 구축합니다.
Dev09,머신러닝 엔지니어,Developer,인공지능 모델을 개발하고 실제 서비스에 적용하는 역할을 합니다.
Dev10,데이터 사이언티스트,Developer,데이터를 분석하여 비즈니스에 도움이 되는 인사이트를 도출합니다.
Dev11,데브옵스 엔지니어,Developer,F
Dev12,클라우드 엔지니어,Developer,"클라우드 컴퓨팅 환경을 설계, 구축, 운영하는 역할을 합니다."
Dev13,정보 보안 전문가,Developer,"해킹, 바이러스 등 외부 위협으로부터 기업의 정보 자산을 보호합니다."
Dev14,임베디드 시스템 개발자,Developer,"냉장고, TV 등 전자기기에 내장되는 소프트웨어를 개발합니다."
Dev15,게임 클라이언트 개발자,Developer,사용자가 직접 플레이하는 게임 화면과 관련된 부분을 개발합니다.
Dev16,게임 서버 개발자,Developer,게임의 전반적인 시스템과 데이터베이스를 관리하는 서버를 개발합니다.
Dev17,QA 엔지니어,Developer,소프트웨어의 품질을 보증하기 위해 테스트를 수행하고 결함을 찾아냅니다.
Dev18,블록체인 개발자,Developer,블록체인 기술을 기반으로 새로운 서비스를 개발합니다.
Dev19,ERP 개발자,Developer,기업의 자원을 효율적으로 관리하기 위한 전사적 자원관리 시스템을 개발합니다.
Dev20,검색 엔진 개발자,Developer,방대한 데이터 속에서 사용자가 원하는 정보를 빠르고 정확하게 찾아주는 검색 엔진을 개발합니다.
Des01,UI 디자이너,Designer,사용자가 서비스를 편리하게 이용할 수 있도록 화면을 디자인합니다.
Des02,UX 디자이너,Designer,사용자의 경험을 분석하여 더 나은 서비스를 제공하기 위한 디자인을 합니다.
Des03,프로덕트 디자이너,Designer,"제품의 전체적인 디자인을 책임지며, 기획부터 출시까지 모든 과정에 참여합니다."
Des04,BX 디자이너,Designer,브랜드의 정체성을 시각적으로 표현하여 사용자에게 긍정적인 경험을 제공합니다.
Des05,GUI 디자이너,Designer,사용자가 서비스를 이용할 때 마주하는 그래픽 요소를 디자인합니다.
Des06,웹 디자이너,Designer,웹사이트의 전체적인 디자인과 레이아웃을 구성합니다.
Des07,앱 디자이너,Designer,모바일 앱의 화면과 사용자 경험을 디자인합니다.
Des08,인터랙션 디자이너,Designer,사용자와 서비스 간의 상호작용을 디자인하여 더 나은 사용자 경험을 제공합니다.
Des09,모션 그래픽 디자이너,Designer,영상이나 애니메이션을 활용하여 정보를 효과적으로 전달하는 디자인을 합니다.
Des10,3D 모델러,Designer,"3D 그래픽을 활용하여 캐릭터, 배경, 제품 등을 입체적으로 표현합니다."
Des11,캐릭터 디자이너,Designer,"게임, 애니메이션 등에 등장하는 캐릭터를 디자인합니다."
Des12,UX 리서처,Designer,사용자의 행동과 니즈를 분석하여 디자인 개선에 필요한 정보를 제공합니다.
Des13,콘텐츠 디자이너,Designer,"SNS, 블로그 등 다양한 채널에 사용되는 콘텐츠를 디자인합니다."
Des14,광고 디자이너,Designer,광고 캠페인의 목적에 맞는 시각적인 결과물을 만들어냅니다.
Des15,편집 디자이너,Designer,"책, 잡지 등 인쇄물의 레이아웃과 디자인을 담당합니다."
Des16,일러스트레이터,Designer,그림이나 삽화를 통해 정보를 시각적으로 전달하는 역할을 합니다.
Des17,UI/UX 기획자,Designer,사용자의 편의성을 고려하여 서비스의 화면과 기능을 설계합니다.
Des18,디자인 시스템 디자이너,Designer,일관된 디자인을 유지하기 위한 디자인 원칙과 가이드를 만듭니다.
Des19,VFX 아티스트,Designer,"영화, 드라마 등에서 사용되는 시각 효과를 제작합니다."
